OID_TRACT_20|GEOID_TRACT_20|NAMELSAD_TRACT_20|AREALAND_TRACT_20|AREAWATER_TRACT_20|MTFCC_TRACT_20|FUNCSTAT_TRACT_20|OID_TRACT_10|GEOID_TRACT_10|NAMELSAD_TRACT_10|AREALAND_TRACT_10|AREAWATER_TRACT_10|MTFCC_TRACT_10|FUNCSTAT_TRACT_10|AREALAND_PART|AREAWATER_PART
20790378104506|48453002104|Census Tract 21.04|1237911|0|G5020|S|20740378104514|48453002105|Census Tract 21.05|1937085|0|G5020|S|1284|0
20790378104514|48453002105|Census Tract 21.05|1935801|0|G5020|S|20740378104514|48453002105|Census Tract 21.05|1937085|0|G5020|S|1935801|0
20790378104524|48453002106|Census Tract 21.06|1629279|0|G5020|S|20740378104524|48453002106|Census Tract 21.06|1629279|0|G5020|S|1629279|0
20790378104534|48453002107|Census Tract 21.07|3057184|0|G5020|S|20740378104534|48453002107|Census Tract 21.07|3057184|0|G5020|S|3057184|0
20790378104542|48453002108|Census Tract 21.08|3377510|0|G5020|S|20740378104542|48453002108|Census Tract 21.08|3287077|0|G5020|S|3287077|0
20790378104542|48453002108|Census Tract 21.08|3377510|0|G5020|S|20740378116627|48453002201|Census Tract 22.01|5171408|1348|G5020|S|43261|0
20790378104542|48453002108|Census Tract 21.08|3377510|0|G5020|S|207403717221123|48453002208|Census Tract 22.08|12873554|77799|G5020|S|47172|0
20790378104551|48453002109|Census Tract 21.09|2796792|0|G5020|S|20740378104551|48453002109|Census Tract 21.09|2796792|0|G5020|S|2796792|0
20790378104560|48453002110|Census Tract 21.10|3614496|0|G5020|S|20740378104560|48453002110|Census Tract 21.10|3542307|0|G5020|S|3515418|0
20790378104560|48453002110|Census Tract 21.10|3614496|0|G5020|S|20740378116612|48453002111|Census Tract 21.11|6514829|380406|G5020|S|33802|0
20790378104560|48453002110|Census Tract 21.10|3614496|0|G5020|S|207403717221123|48453002208|Census Tract 22.08|12873554|77799|G5020|S|65276|0
20790378116612|48453002111|Census Tract 21.11|6491872|294438|G5020|S|20740378104560|48453002110|Census Tract 21.10|3542307|0|G5020|S|26889|0
20790378116612|48453002111|Census Tract 21.11|6491872|294438|G5020|S|20740378116612|48453002111|Census Tract 21.11|6514829|380406|G5020|S|6463696|293056
20790378116612|48453002111|Census Tract 21.11|6491872|294438|G5020|S|207403717221123|48453002208|Census Tract 22.08|12873554|77799|G5020|S|1287|0
20790378116612|48453002111|Census Tract 21.11|6491872|294438|G5020|S|20740378116720|48453002310|Census Tract 23.10|17942248|591500|G5020|S|0|1382
20790378104569|48453002112|Census Tract 21.12|1703455|0|G5020|S|20740378104569|48453002112|Census Tract 21.12|1703455|0|G5020|S|1703455|0
20790378104578|48453002113|Census Tract 21.13|2094017|0|G5020|S|20740378104578|48453002113|Census Tract 21.13|2055547|0|G5020|S|2055547|0
20790378104578|48453002113|Census Tract 21.13|2094017|0|G5020|S|20740378116627|48453002201|Census Tract 22.01|5171408|1348|G5020|S|38470|0
20790378116627|48453002201|Census Tract 22.01|5089677|1348|G5020|S|20740378116627|48453002201|Census Tract 22.01|5171408|1348|G5020|S|5089677|1348
207903717221212|48453002211|Census Tract 22.11|6799964|0|G5020|S|207403717221212|48453002211|Census Tract 22.11|6802305|0|G5020|S|6799964|0
2079015903206944|48453002213|Census Tract 22.13|3270957|0|G5020|S|207403717221123|48453002208|Census Tract 22.08|12873554|77799|G5020|S|3270957|0
2079015903345141|48453002214|Census Tract 22.14|9488862|88925|G5020|S|207403717221123|48453002208|Census Tract 22.08|12873554|77799|G5020|S|9488862|59086
2079015903345141|48453002214|Census Tract 22.14|9488862|88925|G5020|S|20740378116720|48453002310|Census Tract 23.10|17942248|591500|G5020|S|0|29839
2079015903388348|48453002215|Census Tract 22.15|11588865|7174|G5020|S|207403717221077|48453002207|Census Tract 22.07|67721051|2013117|G5020|S|11588865|7174
2079015903337904|48453002216|Census Tract 22.16|56128548|2005943|G5020|S|207403717221077|48453002207|Census Tract 22.07|67721051|2013117|G5020|S|56128548|2005943
2079015903402629|48453002217|Census Tract 22.17|32597319|112448|G5020|S|207403717221177|48453001856|Census Tract 18.56|61772593|25850|G5020|S|359|0
2079015903402629|48453002217|Census Tract 22.17|32597319|112448|G5020|S|207403717221098|48453002209|Census Tract 22.09|68343542|289406|G5020|S|32596960|112448
2079015903251928|48453002218|Census Tract 22.18|35650726|176958|G5020|S|207403717221098|48453002209|Census Tract 22.09|68343542|289406|G5020|S|35650726|176958
2079015903165346|48453002219|Census Tract 22.19|106412050|5223176|G5020|S|207403717221177|48453001856|Census Tract 18.56|61772593|25850|G5020|S|337|0
2079015903165346|48453002219|Census Tract 22.19|106412050|5223176|G5020|S|207403717221077|48453002207|Census Tract 22.07|67721051|2013117|G5020|S|3638|0
2079015903165346|48453002219|Census Tract 22.19|106412050|5223176|G5020|S|207403717221098|48453002209|Census Tract 22.09|68343542|289406|G5020|S|95856|0
2079015903165346|48453002219|Census Tract 22.19|106412050|5223176|G5020|S|207403717221074|48453002210|Census Tract 22.10|81429319|116901|G5020|S|81368846|116901
2079015903165346|48453002219|Census Tract 22.19|106412050|5223176|G5020|S|207403717221212|48453002211|Census Tract 22.11|6802305|0|G5020|S|2341|0
